,TF,target,value
19,LTF,CXCL1,0.5714561891223069
3,IL1R2,CXCL1,0.5664928702528833
25,IFI27,LTF,0.5549852042813291
6,FN1,LTF,0.5513611845782099
16,SLC11A1,C3AR1,0.5465638012723466
18,FCER1A,IDO1,0.53790428146131
10,EGR2,CTSG,0.5375696575095185
11,CXCL1,IL1R2,0.5305397780752218
23,LBP,CEACAM8,0.5187468443320266
19,LTF,EGR2,0.5157718493641985
6,FN1,CEACAM6,0.5080480483643224
31,TREM1,CEACAM6,0.5012511518392251
4,IL8,IL1R2,0.49377753292678556
10,ARG1,HLA-DQB1,0.4879065659421462
5,IL8,CEACAM8,0.48125315566797344
32,LCN2,CEACAM8,0.4812531556679734
16,SLC11A1,EGR2,0.47173210073020105
3,IL1R2,MSR1,0.4694045279400521
20,LTF,CREB5,0.4554968093843932
23,LILRA4,PTGDR2,0.4466566617907739
11,ARG1,PTGDR2,0.4431661282023207
31,TREM1,IFI27,0.44073354091815015
24,CCL2,CXCL1,0.4387939831125677
22,IL1RAP,CEACAM8,0.42246015328910175
8,FOS,IL8,0.4142929603061447
5,IL8,TREM1,0.4134835699605311
10,ARG1,IL8,0.37960044903255924
7,EGR1,IL8,0.37950406503714035
0,HLA-DRB4,TREM1,0.3749857992918638
4,PTGS2,LILRA4,0.37041104002845615
26,MARCO,C3AR1,0.3654009509018122
28,CEACAM6,C3AR1,0.365400950901812
14,PTGDR2,CEACAM6,0.3634642260519978
16,SLC11A1,FN1,0.3627656093612722
21,IL1RAP,C3AR1,0.36209281813113287
12,CXCL1,C3AR1,0.3613647002380022
6,FN1,LILRA4,0.353908480581032
16,F2RL1,CREB5,0.3500814022092197
7,IL3RA,CREB5,0.3498476072738571
16,SLC11A1,FOS,0.34373250658760723
13,PTGDR2,HLA-DQA1,0.3415185437451711
28,CEACAM6,C1QB,0.3317130978656179
2,HLA-DQB1,MARCO,0.3303655942547442
25,IFI27,FLT3,0.31215169638072016
13,C3AR1,IDO1,0.3034110044018806
14,PTGDR2,IL1RAP,0.301985349007968
34,CTSG,HLA-DQB1,0.29669405482121836
23,LILRA4,HLA-DQA1,0.27204099699799444
3,IL1R2,FCER1A,0.27118940654459184
9,FOS,CREB5,0.27037744470252295
25,IFI27,IL1R2,0.27008445229367034
24,LILRA4,LCN2,0.26975832872640354
16,SLC11A1,HLA-DQA1,0.26870829460725815
34,CTSG,TREM1,0.2684776908418547
24,LILRA4,TREM1,0.2606667435395669
20,IDO1,FCER1A,0.2551892485280474
0,HLA-DRB4,MARCO,0.25405912578752216
33,CREB5,LILRA4,0.2497230763794526
32,TREM1,CREB5,0.24519815014981394
15,C1QB,IL1RAP,0.24361685423089555
16,F2RL1,LCN2,0.24307283551319253
10,EGR2,IL1RAP,0.24113113687230198
14,PTGDR2,LCN2,0.23801891462133215
33,CREB5,PTGDR2,0.22667703484395946
0,HLA-DRB4,IDO1,0.22320906299521615
2,HLA-DQB1,EGR1,0.2208105308263672
11,CXCL1,FN1,0.21926943764050386
29,CEACAM6,LCN2,0.2190337068061197
21,IDO1,IFI27,0.2182407696334555
28,CEACAM6,LBP,0.21645853429583747
30,IL32,PTGDR2,0.21170500846422377
7,IL3RA,IFI27,0.21165718423728164
24,CCL2,F2RL1,0.21056701156848717
4,PTGS2,FLT3,0.2101166258907783
20,IDO1,FLT3,0.208845694847591
9,EGR2,EGR1,0.2076763978717796
15,C1QB,FLT3,0.20594595852764697
12,CXCL1,PTGDR2,0.20524769158889117
26,MARCO,FN1,0.2045051174456183
20,IDO1,C1QB,0.20097301944675258
27,MSR1,FLT3,0.20083929159942332
9,FOS,TREM1,0.19698123006514817
33,CREB5,IL1R2,0.19188010414808365
2,HLA-DQB1,IDO1,0.19103508613085687
16,F2RL1,SLC11A1,0.18963548417344295
6,FN1,IDO1,0.1872544571336333
9,FOS,MSR1,0.18638155077548188
12,CXCL1,LBP,0.18443686157071826
17,FCER1A,FOS,0.1806313091162602
21,IL1RAP,IDO1,0.17960143036688075
27,MSR1,HLA-DQA1,0.17635580505755194
13,C3AR1,C1QB,0.1749639966362108
29,CEACAM8,CEACAM6,0.1711228849551914
18,FLT3,FN1,0.17018205573679906
4,IL8,HLA-DQA1,0.1667623243001306
11,ARG1,IL1RAP,0.1659018568067328
29,CEACAM8,FN1,0.16503667427050414
24,LILRA4,MSR1,0.1602334633851576
31,IL32,LCN2,0.1578252190132339
24,CCL2,IL1R2,0.1565541653749849
30,IL32,FN1,0.1561618278914122
2,HLA-DQB1,CREB5,0.15479119656454693
12,C3AR1,FN1,0.1538103390870092
0,HLA-DRB4,HLA-DQA1,0.15331750663834093
0,HLA-DRB4,FOS,0.14620088984778726
29,CEACAM8,SLC11A1,0.14602700548512237
21,IL1RAP,HLA-DQA1,0.1448205397916946
30,IL32,FOS,0.14406559461471552
0,HLA-DRB4,FCER1A,0.14156109320053245
10,EGR2,CXCL1,0.1406860328776915
24,CCL2,LBP,0.13949744862436597
34,CTSG,CREB5,0.13849237112601306
9,FOS,LCN2,0.13761167078416123
15,C1QB,LILRA4,0.13587736372675296
33,CREB5,IDO1,0.13560903829483217
27,MSR1,F2RL1,0.13474594784139424
15,C1QB,F2RL1,0.13457584351766028
12,CXCL1,CCL2,0.13415491278379946
24,CCL2,FOS,0.13366207080147474
9,EGR2,FOS,0.1336620708014746
34,CTSG,CEACAM8,0.13035758451496118
18,FCER1A,LBP,0.12678358888506058
1,HLA-DQA1,LBP,0.12678358888506047
3,IL1R2,CEACAM6,0.12648686386991007
7,IL3RA,TREM1,0.12443165494891818
19,LTF,IL1R2,0.12368093480809098
15,C1QB,CEACAM8,0.12024841276156994
9,FOS,EGR2,0.11996896067524747
30,IL32,CCL2,0.11815075968339503
21,IDO1,IL32,0.1170789252570924
17,SLC11A1,CTSG,0.11607529034715651
24,LILRA4,MARCO,0.11603829392061198
24,CCL2,FCER1A,0.11467783431572381
9,FOS,LILRA4,0.11384571265270005
16,SLC11A1,EGR1,0.1123660894006076
20,IDO1,CXCL1,0.10954486546225842
9,FOS,IL1RAP,0.10908020503621765
23,LILRA4,IL1RAP,0.10828017399283354
33,CREB5,IL1RAP,0.10828017399283352
4,PTGS2,IL1RAP,0.1082395406147296
19,FLT3,IL1RAP,0.10620530947513548
18,FCER1A,IL1RAP,0.10530444750737045
5,IL8,CREB5,0.10527659117374044
32,LCN2,IL32,0.10507792766627329
19,FLT3,MARCO,0.1047997785341469
8,EGR1,LBP,0.10437132953501271
18,FCER1A,CREB5,0.10376634986283745
14,C1QB,EGR1,0.10345624430074334
24,CCL2,C3AR1,0.09900180518604405
13,PTGDR2,C3AR1,0.09756000701842908
5,IL8,CCL2,0.09668312495940948
1,HLA-DQA1,CREB5,0.09422153454336922
22,IL1RAP,LILRA4,0.09154208864497414
11,CXCL1,EGR2,0.0913382520650022
12,CXCL1,CTSG,0.0892910484597254
6,FN1,F2RL1,0.08834554315154743
13,C3AR1,F2RL1,0.08524064556220477
27,MSR1,EGR1,0.08446023846200673
8,FOS,HLA-DQB1,0.08293040713019632
8,FOS,EGR1,0.08187097846768225
30,IL32,F2RL1,0.08096816903454297
21,IDO1,MARCO,0.07983733401952392
4,PTGS2,F2RL1,0.07973216685232766
34,CTSG,F2RL1,0.07970657431248082
31,TREM1,LBP,0.07909298206438223
6,FN1,CTSG,0.07705168978877083
21,IL1RAP,HLA-DQB1,0.07433924279768922
9,FOS,C3AR1,0.07415398522064275
26,MARCO,PTGS2,0.07361244522159775
14,C1QB,PTGS2,0.07337201896801276
22,LBP,PTGS2,0.07292737542034022
4,IL8,PTGS2,0.07221640497949106
30,IL32,CXCL1,0.07145541279750876
2,HLA-DQB1,LBP,0.07144397095015881
33,CREB5,CXCL1,0.07038957799670113
21,IL1RAP,CXCL1,0.06993734145991694
16,SLC11A1,PTGS2,0.06990090033617612
3,IL1R2,PTGS2,0.06959377628059145
17,FCER1A,C1QB,0.06934115561630551
17,SLC11A1,LBP,0.06916263847547918
32,LCN2,C1QB,0.0689135593479808
5,IL8,C1QB,0.06891355934798071
13,C3AR1,TREM1,0.06791280407980148
19,FLT3,CEACAM6,0.06761422968916292
30,IL32,CEACAM6,0.06761422968916285
17,SLC11A1,FCER1A,0.06650421382916424
28,MSR1,CEACAM8,0.06640433967991377
32,LCN2,C3AR1,0.06467296689446755
16,F2RL1,CEACAM6,0.06337208813407995
24,CCL2,C1QB,0.06137348548922786
27,MARCO,CTSG,0.061097888092836374
22,IL1RAP,IL32,0.05868267991027984
13,PTGDR2,EGR2,0.058544788826653475
2,HLA-DQB1,IL32,0.05792651839927727
14,PTGDR2,TREM1,0.056876778243467846
30,IL32,IL1RAP,0.05682165177051521
3,IL1R2,SLC11A1,0.0566931141636638
16,F2RL1,IL32,0.055506581225260504
1,HLA-DQA1,CTSG,0.0550044653935807
4,PTGS2,SLC11A1,0.052598871735926436
25,CCL2,MSR1,0.050446307588926216
2,HLA-DQB1,IL3RA,0.05011126025749442
0,HLA-DRB4,CTSG,0.04942657641443342
27,MARCO,LCN2,0.04841681392887528
25,IFI27,FCER1A,0.04834660636750934
17,FCER1A,EGR1,0.046960688264509665
1,HLA-DQA1,CCL2,0.04608235441051949
10,EGR2,LCN2,0.04530929365114976
11,ARG1,LCN2,0.043487046297054584
8,EGR1,FCER1A,0.04237530834077263
28,CEACAM6,IL3RA,0.0418756615705086
26,MARCO,FLT3,0.041644585716917884
10,EGR2,FLT3,0.04164458571691785
26,IFI27,MSR1,0.04139242941822404
1,HLA-DQA1,SLC11A1,0.04100980937386536
14,PTGDR2,SLC11A1,0.04100980937386536
19,LTF,IL3RA,0.04082068406886232
34,CTSG,LCN2,0.03957927869570536
7,IL3RA,MSR1,0.03934428186109476
33,CREB5,MSR1,0.038854722433064016
15,C1QB,MARCO,0.03759811205344814
26,MARCO,EGR2,0.03720334280174856
10,EGR2,C1QB,0.037164181913431564
27,MARCO,MSR1,0.03706457722384898
25,CCL2,CEACAM8,0.036715208591121304
33,CREB5,IL8,0.035819201573686205
14,C1QB,IL3RA,0.03556680687802844
9,EGR2,IL3RA,0.035260163290711806
10,EGR2,CEACAM8,0.034715828561707913
30,IL32,IL3RA,0.03450916591133401
31,TREM1,FLT3,0.03420136247735304
12,CXCL1,FLT3,0.03420136247735287
19,FLT3,LILRA4,0.034015619711533336
16,SLC11A1,IL8,0.03053315469092731
9,FOS,C1QB,0.03038856979873235
7,IL3RA,C1QB,0.029310357471538206
17,FCER1A,SLC11A1,0.028140107945297532
13,PTGDR2,ARG1,0.02779657920221127
12,CXCL1,SLC11A1,0.026531883386196994
20,IDO1,SLC11A1,0.026531883386196914
31,TREM1,IL1R2,0.0263632421004049
0,HLA-DRB4,SLC11A1,0.0247754759194787
24,CCL2,IL8,0.024533711043459208
6,FN1,FLT3,0.02378711745742884
22,LBP,IL8,0.02340907720951375
2,HLA-DQB1,MSR1,0.023350178216979
9,FOS,CEACAM6,0.0218791004723749
24,CCL2,EGR1,0.021585265833061053
6,IL3RA,IL1R2,0.02091315818165913
31,TREM1,ARG1,0.020741757620301532
4,PTGS2,IL8,0.020736146898674628
14,C1QB,FOS,0.020424299606687797
27,MSR1,FN1,0.02034379290687648
4,PTGS2,FN1,0.02017780866863787
14,PTGDR2,CCL2,0.020164510016883665
8,EGR1,EGR2,0.019771745871904133
26,MARCO,FOS,0.01970241506383163
14,PTGDR2,FCER1A,0.019488693990860683
14,PTGDR2,IFI27,0.01945730462246273
18,FCER1A,IFI27,0.0194573046224627
8,EGR1,ARG1,0.01923871173794063
13,PTGDR2,EGR1,0.01831074983856965
20,LTF,CCL2,0.018052521235511532
34,CTSG,CCL2,0.01805252123551144
16,SLC11A1,ARG1,0.017359209317612957
18,FLT3,FOS,0.017208114122549568
3,IL1R2,IFI27,0.01681956031723218
10,EGR2,ARG1,0.016722390846375657
10,EGR2,IFI27,0.016654323353495874
15,C1QB,LTF,0.016597647152909584
27,MSR1,MARCO,0.016190045480216377
6,FN1,MARCO,0.016190045480216318
19,LTF,FLT3,0.015297517134024092
28,CEACAM6,MARCO,0.015117593318692248
22,LBP,FLT3,0.014077516837758333
9,EGR2,HLA-DQB1,0.01386800521742759
20,IDO1,ARG1,0.013121532855313364
1,HLA-DQA1,F2RL1,0.01305988302210646
34,CTSG,LTF,0.012797272481802478
9,FOS,ARG1,0.012515871540783397
14,C1QB,ARG1,0.012264493030570648
10,EGR2,CEACAM6,0.011853543431014567
5,IL8,CEACAM6,0.01171132349490475
23,LILRA4,HLA-DQB1,0.010676832756665594
14,PTGDR2,C1QB,0.010343709842935284
31,TREM1,C1QB,0.009875598077064882
0,HLA-DRB4,IFI27,0.008625544699301048
18,FLT3,IL1R2,0.007995985809184505
25,IFI27,CCL2,0.007733518255545893
18,FCER1A,IL32,0.006938367811363047
7,EGR1,FN1,0.0068107883543045075
26,MARCO,IL1R2,0.006533798686639452
7,IL3RA,LTF,0.006280614660329392
31,IL32,CTSG,0.006140710868069661
26,MARCO,CXCL1,0.006128828440767604
4,PTGS2,CTSG,0.005943856199188027
32,LCN2,FLT3,0.005456803970088399
12,C3AR1,HLA-DQB1,0.0052720268899953205
4,PTGS2,PTGDR2,0.0052615965424532025
29,CEACAM8,IL1R2,0.005164154982256492
22,LBP,LTF,0.004955254018647263
5,IL8,FN1,0.004483874258277156
1,HLA-DQA1,PTGDR2,0.004399399936847023
15,C1QB,IFI27,0.004328034675371731
27,MSR1,PTGDR2,0.00408414103469725
15,F2RL1,PTGDR2,0.0038354301257311875
33,CREB5,HLA-DQB1,0.0037040922799603613
13,C3AR1,IFI27,0.0033387253946927428
33,CREB5,LTF,0.003267086269318719
19,LTF,HLA-DQB1,0.0028190946773181663
32,LCN2,HLA-DQB1,0.0028035073698687496
26,MARCO,HLA-DQB1,0.0019625952523262997
13,PTGDR2,PTGS2,0.001581946346824158
20,IDO1,IL8,0.001555173968992902
0,HLA-DRB4,CEACAM8,0.0014653179390191665
34,CTSG,PTGS2,0.0014342205443878563
23,LILRA4,IL3RA,0.001020485301955985
25,CCL2,IL32,0.0009106758736431958
22,LBP,IL3RA,0.0008939882941842755
32,LCN2,IL8,0.0006164877719530971
34,CTSG,HLA-DRB4,0.000508693734852917
16,SLC11A1,HLA-DRB4,0.0004041239177440169
27,MARCO,IL32,0.0003920134854850612
15,F2RL1,HLA-DRB4,0.00022619979877655535
24,CCL2,HLA-DRB4,0.00012216283903136133
4,IL8,HLA-DRB4,0.00011971681104729974
20,IDO1,HLA-DRB4,8.376146144522213e-05
7,EGR1,HLA-DQB1,5.563710975643327e-05
0,HLA-DRB4,HLA-DQB1,4.822537065383175e-05
17,FCER1A,HLA-DQB1,4.134705979081405e-05
9,EGR2,PTGS2,5.464404051948895e-06
10,ARG1,HLA-DRB4,3.3541697548517037e-07
